close,open,volume,MACD,ATR,USDollarIndex,FederalFundRate
825.16,816.76,1163715712.00,7.36,25.97,85.20,0.14
856.56,829.29,1531040256.00,9.47,26.62,85.66,0.14
858.73,855.33,1270832512.00,10.34,24.06,84.59,0.13
841.50,856.88,1515307776.00,7.88,24.08,84.78,0.16
852.06,839.44,1285685504.00,7.01,22.79,84.95,0.16
865.30,854.54,1320720896.00,7.49,23.09,85.19,0.15
869.60,865.18,1753797376.00,7.64,22.75,85.88,0.13
832.39,868.27,1683230848.00,2.26,22.83,86.67,0.14
850.08,831.25,1504931712.00,0.70,22.85,86.50,0.15
843.55,847.26,1566996480.00,-1.48,22.20,86.28,0.15
851.92,844.62,1377647104.00,-2.03,20.98,85.42,0.17
866.23,853.91,1509113472.00,-0.76,21.27,84.76,0.16
857.51,862.82,1162904192.00,-1.36,20.88,85.72,0.17
855.16,854.48,1058001792.00,-2.29,20.62,85.20,0.16
873.64,856.85,1205310720.00,-0.70,21.57,84.66,0.18
872.81,876.59,1482669952.00,-0.09,20.75,84.79,0.20
877.52,872.74,1039996672.00,0.59,20.42,84.51,0.22
907.24,879.21,1395038336.00,4.47,21.27,83.71,0.22
903.80,906.10,1220200704.00,5.90,20.77,84.16,0.20
919.53,903.95,1532284928.00,8.16,20.28,83.98,0.18
907.39,919.58,1717737472.00,7.24,21.24,83.84,0.18
929.23,909.03,1669584640.00,8.71,20.21,82.43,0.17
909.24,922.99,1295986176.00,6.22,20.02,82.80,0.17
908.35,910.52,1360212992.00,3.82,19.87,82.29,0.16
883.92,905.40,1432196224.00,-1.42,20.45,82.57,0.16
893.07,884.24,1227004416.00,-3.87,20.16,82.40,0.16
882.88,892.76,1232332544.00,-6.90,20.43,82.94,0.17
909.71,886.07,1144298240.00,-5.41,21.13,82.55,0.16
908.13,909.67,1071500992.00,-4.76,20.01,82.10,0.15
903.47,908.62,1342873344.00,-5.07,20.23,81.18,0.14
888.33,900.42,1246687104.00,-7.27,20.90,80.49,0.17
887.00,888.68,857902464.00,-8.78,19.66,80.04,0.17
910.33,887.00,1169110400.00,-6.60,21.08,80.09,0.18
893.06,909.95,1122825728.00,-7.40,21.47,80.76,0.17
906.83,892.96,1103703936.00,-6.03,21.02,80.56,0.17
919.14,907.02,1483415296.00,-3.56,20.57,79.23,0.19
942.87,923.26,1275464192.00,0.95,21.14,79.19,0.21
944.74,942.87,1130938240.00,3.69,20.56,78.45,0.20
931.76,942.51,1099158144.00,3.29,20.23,79.50,0.21
942.46,932.49,1160934784.00,3.96,20.03,79.44,0.20
940.09,945.67,1063196160.00,3.58,20.00,80.67,0.21
939.14,938.12,894695744.00,2.73,19.48,80.87,0.21
942.43,940.35,886061824.00,2.17,19.46,79.81,0.18
939.15,942.73,988223936.00,0.99,19.35,80.32,0.18
944.89,939.04,1041939008.00,0.61,18.88,79.60,0.17
946.21,943.44,762837248.00,0.20,18.72,80.13,0.17
923.72,942.45,961852224.00,-3.25,18.45,81.16,0.22
911.97,925.60,992777152.00,-7.04,18.05,80.75,0.22
910.71,911.89,1109047424.00,-9.50,17.54,80.29,0.24
918.37,910.86,932707200.00,-9.84,17.36,80.58,0.25
921.23,919.96,2050889856.00,-9.41,16.12,80.36,0.25
893.04,918.13,1192790400.00,-12.47,17.36,80.84,0.24
895.10,893.46,1021119296.00,-13.66,16.57,79.85,0.24
900.94,896.31,930844352.00,-13.11,16.75,80.54,0.21
920.26,899.45,1049443904.00,-9.75,17.29,80.34,0.19
918.90,918.84,1404319104.00,-7.42,16.51,79.90,0.18
927.23,919.86,874243456.00,-4.59,16.59,79.90,0.17
919.32,927.15,1128099968.00,-3.68,16.26,80.16,0.22
923.33,920.82,820306944.00,-2.48,15.93,79.61,0.20
896.42,921.24,722258240.00,-5.10,17.09,80.55,0.17
898.72,894.27,972380352.00,-6.24,16.08,80.38,0.18
881.03,898.60,982781568.00,-8.93,16.25,80.70,0.18
879.56,881.90,1297485056.00,-10.36,16.45,80.66,0.16
882.68,881.28,892244672.00,-10.31,16.12,79.91,0.15
879.13,880.03,814353856.00,-10.17,16.08,80.32,0.15
901.05,879.57,1078994432.00,-6.71,15.91,80.06,0.13
905.84,900.77,889590336.00,-3.51,15.87,80.03,0.13
932.68,910.15,1265414016.00,2.17,16.76,79.40,0.14
940.74,930.17,1066142208.00,6.72,16.14,79.24,0.15
940.38,940.56,1216419456.00,9.21,16.01,79.48,0.15
951.13,942.07,984365632.00,11.70,15.97,78.85,0.15
954.58,951.97,1065558208.00,13.08,15.70,78.83,0.14
954.07,953.40,1017244096.00,13.17,15.66,78.79,0.14
976.29,954.07,1273330176.00,15.32,15.61,79.03,0.15
979.26,972.16,927055552.00,16.14,15.71,78.84,0.15
982.18,978.63,916680640.00,16.06,15.10,78.63,0.16
979.62,981.48,1055970432.00,14.67,14.78,78.86,0.15
975.15,977.66,1107494656.00,12.26,14.89,79.52,0.17
986.75,976.01,1228697600.00,11.36,15.66,79.33,0.17
987.48,986.80,1364114432.00,10.04,14.56,78.35,0.18
1002.63,990.22,1017752128.00,10.35,15.05,77.57,0.18
1005.65,1001.41,1050617280.00,10.08,13.78,77.72,0.17
1002.72,1005.41,1666549632.00,8.69,13.49,77.57,0.17
997.08,1004.06,1158699648.00,6.30,14.08,78.00,0.17
1010.48,999.83,1209582976.00,5.82,14.77,78.90,0.17
1007.10,1008.89,879406208.00,4.42,14.49,79.18,0.17
994.35,1005.77,950457664.00,1.30,14.68,79.17,0.16
1005.81,994.00,1027454592.00,0.35,14.20,78.84,0.15
1012.73,1005.86,742985728.00,0.24,14.09,78.44,0.15
1004.09,1012.23,941985984.00,-1.33,14.66,78.72,0.15
979.73,998.18,1031207680.00,-5.73,15.56,79.34,0.17
989.67,980.62,828130368.00,-7.29,15.59,78.98,0.17
996.46,986.88,869033728.00,-7.37,15.41,78.48,0.17
1007.37,996.41,888273664.00,-5.98,15.57,78.43,0.17
1026.13,1009.06,1296527616.00,-2.72,15.86,78.08,0.16
1025.57,1026.59,960663616.00,-0.92,16.07,78.24,0.16
1028.00,1026.63,919650944.00,0.25,16.06,78.29,0.15
1028.12,1027.35,830129216.00,0.67,15.73,78.66,0.15
1030.98,1027.81,936315648.00,0.95,15.46,78.11,0.14
1028.93,1031.62,1064572160.00,0.50,15.95,78.31,0.14
1020.62,1025.21,1107516928.00,-1.19,15.92,78.16,0.15
998.04,1019.52,1370668544.00,-5.38,16.83,78.74,0.15
994.75,996.07,1070193600.00,-8.46,16.55,78.42,0.16
1003.24,996.12,976773760.00,-9.14,16.05,78.43,0.15
1016.40,1003.84,816904192.00,-7.67,15.28,78.19,0.15
1025.39,1018.67,1077373056.00,-5.45,15.15,77.28,0.15
1033.37,1025.36,1036645504.00,-2.98,14.68,77.08,0.15
1044.14,1032.99,1307562624.00,-0.13,14.94,76.82,0.16
1042.73,1043.92,1048360448.00,1.25,14.19,76.73,0.15
1049.34,1040.15,1047597184.00,2.67,14.29,76.63,0.16
1052.63,1049.03,1284757120.00,3.60,14.32,76.51,0.17
1068.76,1053.99,1340537984.00,5.81,14.70,76.25,0.17
1065.49,1067.87,1245602176.00,6.22,14.44,76.20,0.16
1068.30,1066.60,2057468160.00,6.24,13.79,76.44,0.16
1064.66,1067.14,1017057664.00,5.17,13.54,76.75,0.15
1071.66,1066.35,1062708288.00,4.83,11.90,76.11,0.15
1060.87,1072.69,1112856192.00,2.67,12.71,76.54,0.15
1050.78,1062.56,1085549440.00,-0.42,13.38,76.87,0.14
1044.38,1049.48,974266880.00,-3.47,13.19,76.68,0.13
1062.98,1045.38,808618880.00,-3.12,13.99,76.93,0.13
1060.61,1063.69,915422720.00,-3.35,13.94,77.06,0.11
1057.08,1061.02,1521226496.00,-4.05,14.00,76.70,0.07
1029.85,1054.91,1361260928.00,-8.04,15.28,77.18,0.11
1025.21,1029.71,1145478144.00,-10.97,14.99,77.03,0.13
1040.46,1026.87,930102912.00,-10.53,15.33,76.70,0.13
1054.72,1042.02,1048569216.00,-8.09,15.61,76.29,0.12
1057.58,1053.65,896630336.00,-5.97,15.21,76.40,0.13
1065.48,1060.03,1040967168.00,-3.50,15.62,75.90,0.12
1071.49,1065.28,826018688.00,-1.18,15.46,76.34,0.12
1076.19,1071.63,805568704.00,0.77,15.37,76.16,0.12
1073.19,1074.96,981625152.00,1.39,14.64,75.82,0.12
1092.02,1078.68,1165795584.00,3.94,14.60,75.46,0.12
1096.56,1090.36,1161174912.00,5.72,14.45,75.45,0.13
1087.68,1094.67,1246047872.00,5.21,14.04,75.58,0.12
1097.91,1088.22,890740800.00,5.71,14.18,75.23,0.12
1091.06,1098.64,1036453568.00,4.62,13.86,75.51,0.12
1081.40,1090.36,1215614848.00,2.24,13.36,75.12,0.11
1092.91,1080.96,1148507136.00,1.85,14.09,75.09,0.11
1079.60,1095.62,1152137984.00,-0.43,14.30,75.45,0.11
1066.95,1080.36,1195352576.00,-3.69,14.76,76.03,0.11
1063.41,1067.54,1159962624.00,-6.23,15.04,76.14,0.11
1042.63,1061.51,1345096320.00,-10.36,15.62,76.44,0.11
1066.11,1043.69,1181582464.00,-9.61,16.74,75.94,0.11
1036.19,1065.41,1383693184.00,-12.63,18.51,76.39,0.11
1042.88,1036.18,1226146560.00,-13.15,19.46,76.04,0.12
1045.41,1040.92,1135165184.00,-12.58,18.92,76.28,0.12
1046.50,1047.14,1091683456.00,-11.51,19.33,75.78,0.13
1066.63,1047.30,1070188480.00,-7.73,19.70,75.73,0.13
1069.30,1064.95,900060096.00,-4.65,19.59,75.77,0.12
1093.08,1072.31,1042044864.00,0.52,20.40,75.04,0.12
1093.01,1091.86,905648768.00,3.70,19.58,74.99,0.13
1098.51,1096.04,857497856.00,6.15,18.97,75.07,0.13
