Closing Price,Open Price,Volume,MACD,ATR,US Dollar Index,SHIBOR,label
2792.6,2781.05,826393.29,74.02976638,56.46,82.4,0.8079,2796.12
2796.12,2800.57,649314.31,73.49060087,42.134,82.94,0.81,2810.57
2810.57,2782.59,748357.86,73.38394297,72.837,82.55,0.8104,2840.08
2840.08,2836.34,977036.17,74.8182487,39.056,82.1,0.8096,2812.87
2812.87,2843.55,879392.15,72.91804664,37.036,81.18,0.8104,2750.01
2750.01,2795.83,855353.94,65.58423538,77.098,80.49,0.8104,2740.68
2740.68,2733.02,614990.12,58.34646034,43.62,80.04,0.8108,2752.72
2752.72,2684.21,740916.71,52.97129802,86.102,80.01,0.8104,2719.76
2719.76,2757.31,723160.12,45.52767741,44.254,80.09,0.8129,2759.71
2759.71,2734.42,679766.48,42.36368204,52.745,80.76,0.8133,2858.34
2858.34,2798.93,1085648.83,47.26991151,104.759,79.19,0.8129,2865.1
2865.1,2878.53,1083383.97,51.11415499,37.722,78.45,0.8133,2939.39
2939.39,2865.73,1120733.1,59.46963742,74.678,79.5,0.8142,2953.75
2953.75,2924.27,1301277.1,66.48408506,61.372,79.44,0.8113,2939.31
2939.31,2966.07,1084763.24,70.06977383,37.995,80.67,0.8121,2948.48
2948.48,2937.64,961163.66,72.81222773,65.746,80.87,0.8121,2960.56
2960.56,2948.95,919898.86,75.09459214,68.184,79.81,0.8117,2989.6
2989.6,2972.42,1017900.39,78.34349199,35.143,80.32,0.8163,2961.63
2961.63,2982.97,871159.97,77.76521703,49.584,79.6,0.8142,2906.29
2906.29,2955.57,800670.67,72.0111131,93.546,80.13,0.815,2966.19
2966.19,2911.42,743520.9,71.46109875,69.032,81.16,0.8179,2961.22
2961.22,2936.51,701792.42,69.81917756,50.372,80.75,0.8171,3010.59
3010.59,2957.58,772931.18,71.67529995,86.915,80.29,0.8304,3057.43
3057.43,3014.44,962813.16,76.04923858,51.159,80.58,0.845,3080
3080,3061.9,1025180.69,80.41015075,39.45,80.36,0.9025,3082.56
3082.56,3106.39,1039525.83,83.11484089,43.621,80.84,0.9479,3083.9
3083.9,3036.4,1115067.34,84.39297886,100.073,79.85,0.9579,3120.73
3120.73,3079.5,1094243.13,87.37103022,52.965,80.54,0.9575,3117.92
3117.92,3125.66,828068.87,88.48450031,37.295,80.34,0.9588,3128.42
3128.42,3126.23,705009.08,89.18611362,27.766,79.9,0.9621,3179.97
3179.97,3132.11,849970.75,92.83177518,60.251,79.9,1,3166.47
3166.47,3191.64,867823.47,93.55338723,36.09,80.16,1.09,3237.9
3237.9,3153.54,969505.65,98.75065721,88.138,79.61,1.0975,3282.36
3282.36,3248.2,1129892.94,105.2435763,47.19,80.55,1.0958,3327.14
3327.14,3254.93,1057325.92,112.7031389,78.559,80.41,1.0954,3374.75
3374.75,3333.1,1352640.49,121.0617462,50.92,80.38,1.0938,3340.49
3340.49,3368.33,1296007.99,123.4979,65.87,80.7,1.0933,3352.27
3352.27,3306.43,1138675.92,124.9385801,106.746,80.66,1.0958,3396.3
3396.3,3348.22,1130815.23,128.1562802,61.803,79.91,1.095,3398.31
3398.31,3398.91,1061749.12,129.3768226,52.064,80.32,1.0971,3361.01
3361.01,3382.57,996196.51,125.8832894,45.222,80.06,1.1428,3454.75
3454.75,3375.87,1075204.25,129.1896177,93.742,80.03,1.1446,3493.31
3493.31,3467.13,1334830.02,133.3831727,42.755,79.4,1.1496,3501.24
3501.24,3516.78,1293133.29,135.7816768,53.457,79.24,1.1871,3519.81
3519.81,3499.51,1065497.04,137.5947649,44.594,79.48,1.3763,3591.12
3591.12,3532.52,1364685.39,143.1361101,79.338,78.85,1.3625,3539.83
3539.83,3603.4,1306009.61,141.7548494,77.164,78.83,1.4963,3606.92
3606.92,3532.63,1152385.46,144.4092936,74.987,78.79,1.5013,3651.97
3651.97,3613.6,1163816.09,148.4366297,57.473,79.03,1.4871,3667.56
3667.56,3672.21,1279793.52,151.1437719,95.613,78.84,1.4579,3743.63
3743.63,3680.15,1388080.4,157.6105782,76.686,78.63,1.4442,3755.82
3755.82,3745.55,1462678.85,161.8536136,51.737,78.86,1.4083,3558.51
3558.51,3741.78,1674061.26,147.5936144,311.949,79.52,1.2429,3634.82
3634.82,3587.05,1349688.79,140.8266793,145.631,79.33,1.3475,3734.62
3734.62,3670.19,1322398.34,141.8816596,100.986,78.35,1.2992,3787.03
3787.03,3754.22,1364158.99,145.2722607,73.362,77.57,1.3246,3786.62
3786.62,3803.06,1410357.39,146.2398454,90.63,77.72,1.3225,3740.94
3740.94,3781.4,1334444.53,141.6874649,97.151,77.57,1.3183,3663.12
3663.12,3707.91,1181015.25,130.2985688,138.361,78,1.3183,3555.1
3555.1,3655.46,1005757.51,111.2733817,146.846,78.9,1.3158,3544.54
3544.54,3589.72,848706.81,94.25746147,128.093,79.18,1.3113,3556.38
3556.38,3558.65,644971.97,80.79592328,59.433,79.17,1.2967,3397.4
3397.4,3546.5,925353.86,56.64661646,166.014,78.84,1.1546,3440.82
3440.82,3398.89,870818,40.5443776,110.014,78.44,1.1558,3344.46
3344.46,3437.95,882486.27,19.77994114,120.216,78.72,1.1467,3140.27
3140.27,3283.44,917239.02,-13.00264516,206.985,79.34,1.1575,3171.99
3171.99,3110.71,773430.35,-36.00885785,103.612,78.98,1.1346,3014.57
3014.57,3178.28,816040.2,-66.18087225,200.785,78.48,1.098,3144.39
3144.39,3021.25,795192.16,-78.70954597,132,78.43,1.0925,3203.62
3203.62,3135.37,866168.05,-82.90326416,107.462,78.08,1.09,3229.6
3229.6,3222.4,804140.68,-83.17201472,62.668,78.24,1.055,3109.83
3109.83,3210.85,975301.39,-91.98904705,210.481,78.29,0.9933,3172.39
3172.39,3082.68,820364.04,-92.85844791,138.323,78.66,0.995,3156.3
3156.3,3149.57,801252.01,-93.7645204,95.376,78.11,1.0083,3046.78
3046.78,3152.04,840179.46,-102.1425029,137.46,78.31,1.0108,2830.27
2830.27,3003.54,845173.11,-124.8138851,221.014,78.16,0.9975,2843.7
2843.7,2804.58,705353.06,-140.0827244,105.791,78.74,0.9992,2890.93
2890.93,2824.64,608433.86,-146.6817896,91.168,78.42,1.0846,3051.96
3051.96,2898.45,931574.47,-137.3340739,169.061,78.43,1.0933,3077.14
3077.14,3055.35,869847.15,-126.4368029,60.395,78.19,1.0983,3104.21
3104.21,3097.79,827907.4,-114.2990686,76.085,77.99,1.095,3170.97
3170.97,3084.2,839656.34,-98.16139,123.667,77.28,1.0963,3194.91
3194.91,3188.31,911911.55,-82.48935813,63.649,77.08,1.0925,3162.91
3162.91,3179.19,665660.07,-71.8229587,53.952,76.82,1.0892,3238.13
3238.13,3152.82,806896.6,-56.64722174,100.763,76.73,1.0933,3293.39
3293.39,3248.35,873938.83,-39.70356204,60.772,76.63,1.0913,3302.64
3302.64,3298.81,870921.77,-25.23842055,60.794,76.51,1.1298,3258.24
3258.24,3290.39,882444.81,-17.16007413,90.197,76.25,1.1925,3320.1
3320.1,3274.58,913334.04,-5.700628083,70.88,76.2,1.2475,3199.69
3199.69,3325.06,1004884.04,-6.262582001,159.47,76.44,1.2583,3208.6
3208.6,3163.51,728019.74,-5.92032274,120.036,76.75,1.2575,3131.03
3131.03,3196.01,734251.01,-11.77326124,106.201,76.11,1.2675,3060.07
3060.07,3130.14,660137.16,-21.88511606,117.758,76.54,1.2933,3080.93
3080.93,3041.82,651521.02,-27.89430013,132.819,76.87,1.3013,3058.53
3058.53,3057.11,458204.92,-34.07120162,61.662,76.68,1.3133,2972.64
2972.64,3066.37,419183.52,-45.37360362,128.337,76.93,1.3146,2972.29
2972.29,2975.53,459323.52,-53.74016241,74.624,77.06,1.3211,3004.81
3004.81,2992.98,421845.24,-57.08862684,61.452,76.7,1.7742,3163.71
3163.71,3078.75,568710.4,-46.38546221,159.226,76.34,1.6917,3151.63
3151.63,3181.58,589619.6,-38.43451029,42.334,76.16,1.2671,3198.52
3198.52,3144.02,507137.04,-28.02701793,59.423,75.82,1.2642,3227.4
3227.4,3209.07,809781.2,-17.24962627,78.036,75.46,1.2625,3239.64
3239.64,3258.55,605620.1,-7.632494618,60.54,75.45,1.2638,3241.71
3241.71,3250.1,556362.55,0.154084252,79.991,75.58,1.2608,3329.16
3329.16,3238.85,776831.43,13.22891289,98.982,75.23,1.2554,3377.57
3377.57,3355.36,894262.78,27.18421267,50.472,75.51,1.2254,3369.29
3369.29,3375.03,834889.4,37.14682974,56.107,75.12,1.195,3347.32
3347.32,3364.15,609365.83,42.77677952,39.73,75.09,1.1917,3413.25
3413.25,3354.98,867254.29,51.95975694,89.071,75.45,1.1867,3414.24
3414.24,3421.7,684425.24,58.64099842,47.455,76.03,1.1758,3314.72
3314.72,3384.29,742095.51,55.26863778,99.916,76.14,1.1467,3329.33
3329.33,3303.77,625948.49,53.16170408,78.893,76.44,1.1446,3247.05
3247.05,3265.19,613053.54,44.34181353,90.322,75.94,1.1415,3280.37
3280.37,3305.38,606470.62,39.58440853,82.489,76.39,1.1379,3392.8
3392.8,3205.84,819811.58,44.37484725,196.415,76.04,1.1358,3435.43
3435.43,3402.53,837910.98,51.0223893,54.678,76.28,1.1367,3453.89
3453.89,3443.52,860652.73,57.12195769,61.124,75.78,1.1417,3464.32
3464.32,3458.87,806477.84,62.08188213,39.57,75.73,1.2129,3483.02
3483.02,3491.08,921903.15,66.75235418,41.709,75.77,1.2146,3495.79
3495.79,3487.11,780509.04,70.66929549,43.273,75.04,1.2058,3503.78
3503.78,3520.4,843009.87,73.56999543,36.398,74.99,1.2332,3495.67
3495.67,3500.59,726263.21,74.35790568,45.97,75.07,1.2258,3499.99
3499.99,3506.95,799626.61,74.47228659,41.381,75.67,1.2275,3518.72
3518.72,3489.54,912101.71,75.20734529,73.534,75.29,1.2171,3625.8
3625.8,3541.05,1231573.23,83.46785743,107.165,74.9,1.2104,3628.35
3628.35,3644.96,973913.68,89.19246543,29.436,75.28,1.2,3630.23
3630.23,3633.85,892262.83,92.81069147,40.015,75.06,1.1946,3642.44
3642.44,3638.07,949400.95,95.5616698,49.287,75.26,1.1938,3631.01
3631.01,3630.58,947507.51,95.71665658,60.908,75.6,1.1925,3665.51
3665.51,3636.53,939909.41,97.49911453,38.075,75.13,1.1888,3548.08
3548.08,3680.75,1475668.22,88.41697059,159.271,75.11,1.1858,3629.63
3629.63,3541.51,1146023.29,86.79906328,122.244,74.26,1.1879,3485.77
3485.77,3635.79,1278823.79,73.06661666,173.659,74.77,1.1863,3382.51
3382.51,3440.34,892946.88,53.23740502,118.48,74.9,1.1871,3511.67
3511.67,3415.08,844153.41,47.39828587,129.255,74.81,1.1892,3560.83
3560.83,3507.56,1015186.39,46.205081,81.256,74.44,1.2525,3597.33
3597.33,3578.87,980520.33,47.65520161,46.73,74.63,1.2454,3590.88
3590.88,3596.95,899785.72,47.73348755,51.64,74.8,1.2333,3643.49
3643.49,3581.63,1341309.01,51.44805929,116.205,75.77,1.2183,3668.83
