ClosePrice,OpenPrice,Volume,MACD,ATR,USDollarIndex,FederalFundRate,label
784.04,797.92,903387.04,-8.117264664,21.42,83.07,0.17,768.54
768.54,784.58,764372,-6.401487703,22.71,83.71,0.18,822.92
822.92,772.31,771576.96,-0.646260879,54.83,83.47,0.17,806.12
806.12,820.6,676798,2.530013821,18.17,84.1,0.17,813.88
813.88,806.81,768718,5.608747404,35.41,83.77,0.17,832.86
832.86,814.06,699296,9.471017334,19.1,84.12,0.16,815.94
815.94,828.68,560021,11.03933688,19.43,85.14,0.15,787.53
787.53,809.07,591266,9.875948074,36.13,85.67,0.16,797.87
797.87,790.88,608910,9.676758004,22.95,85.6,0.16,811.08
811.08,793.59,603414,10.46421014,30.3,85.47,0.16,834.38
834.38,814.53,754280.96,12.82059902,34.53,84.3,0.16,842.5
842.5,835.13,585564,15.16841823,15.8,84.17,0.13,835.48
835.48,839.75,621000,16.27501827,19.71,84.73,0.14,815.55
815.55,834.12,515558,15.36668475,20.95,85.23,0.14,825.16
825.16,816.76,593846,15.24651821,13.58,85.2,0.14,856.56
856.56,829.29,760071.04,17.48346445,31.75,85.66,0.14,858.73
858.73,855.33,643489,19.2099213,18.96,84.59,0.13,841.5
841.5,856.88,756984,18.96916903,18.48,84.78,0.16,852.06
852.06,839.44,624110,19.40676574,17.35,84.95,0.16,865.3
865.3,854.54,659867,20.58463479,23.31,85.19,0.15,869.6
869.6,865.18,735200.96,21.61590387,14.76,85.88,0.13,832.39
832.39,868.27,697396,19.20922404,37.21,86.67,0.14,850.08
850.08,831.25,743648.96,18.51590824,23.26,86.5,0.15,843.55
843.55,847.26,732786,17.24079291,21.21,86.28,0.15,851.92
851.92,844.62,656310,16.71298697,17.42,85.42,0.17,866.23
866.23,853.91,711444,17.25054087,19.88,84.76,0.16,857.51
857.51,862.82,561346,16.77950143,14.18,85.72,0.17,855.16
855.16,854.48,632800,16.03176966,17.36,85.2,0.16,873.64
873.64,856.85,610162,16.73742973,26.9,84.66,0.18,872.81
872.81,876.59,686254,17.03334654,20.19,84.79,0.2,877.52
877.52,872.74,531217,17.44680448,14.38,84.51,0.22,907.24
907.24,879.21,703884,19.942741,30.33,83.71,0.22,903.8
903.8,906.1,688286,21.39656315,10.36,84.16,0.2,919.53
919.53,903.95,855504,23.54657694,16.48,83.98,0.18,907.39
907.39,919.58,912010,23.99429057,28.22,83.84,0.18,929.23
929.23,909.03,816328,25.81384637,22.78,82.43,0.17,909.24
909.24,922.99,615060,25.35060552,20.55,82.8,0.17,908.35
908.35,910.52,687175.04,24.62777459,19.11,82.29,0.16,883.92
883.92,905.4,709182,21.83196375,25.55,82.57,0.16,893.07
893.07,884.24,613487,20.12263088,15.84,82.4,0.16,882.88
882.88,892.76,543972,17.74121475,18.03,82.94,0.17,909.71
909.71,886.07,570215,17.8135387,27.12,82.55,0.16,908.13
908.13,909.67,661627,17.54115958,11.17,82.1,0.15,903.47
903.47,908.62,820506,16.75611999,23.23,81.18,0.14,888.33
888.33,900.42,601984,14.74235827,23.86,80.49,0.17,887
887,888.68,515532,12.89052377,12.9,80.04,0.17,910.33
910.33,887,566705,13.15383835,30.3,80.09,0.18,893.06
893.06,909.95,569880,11.83257384,21.97,80.76,0.17,906.83
906.83,892.96,573898,11.76101249,21.85,80.56,0.17,919.14
919.14,907.02,605042,12.55291157,16.46,79.23,0.19,942.87
942.87,923.26,637044,14.92328365,28.63,79.19,0.21,944.74
944.74,942.87,598734,16.75952065,10.92,78.45,0.2,931.76
931.76,942.51,532377,16.97173459,20.89,79.5,0.21,942.46
942.46,932.49,535289,17.79815025,13.15,79.44,0.2,940.09
940.09,945.67,527791,18.05373915,17.56,80.67,0.21,939.14
939.14,938.12,448343,17.97246277,19.89,80.87,0.21,942.43
942.43,940.35,443995,17.96642045,10.77,79.81,0.18,939.15
939.15,942.73,537942,17.49528848,21.8,80.32,0.18,944.89
944.89,939.04,550084,17.38468323,17.19,79.6,0.17,946.21
946.21,943.44,452812,17.20520979,10.64,80.13,0.17,923.72
923.72,942.45,469788,15.07445185,26.56,81.16,0.22,911.97
911.97,925.6,495120,12.29594404,16.4,80.75,0.22,910.71
910.71,911.89,552365,9.878412924,14.66,80.29,0.24,918.37
918.37,910.86,468401,8.482815461,13.99,80.58,0.25,921.23
921.23,919.96,571339,7.520876532,11.29,80.36,0.25,893.04
893.04,918.13,490394,4.432737752,28.19,80.84,0.24,895.1
895.1,893.46,507102,2.127070756,9.83,79.85,0.24,900.94
900.94,896.31,463672,0.762265324,15.75,80.54,0.21,920.26
920.26,899.45,491124,1.225483115,25.15,80.34,0.19,918.9
918.9,918.84,607666,1.465947389,8.97,79.9,0.18,927.23
927.23,919.86,421176,2.302140796,11.81,79.9,0.17,919.32
919.32,927.15,462757,2.300045707,17.15,80.16,0.22,923.33
923.33,920.82,391940,2.592078948,12.6,79.61,0.2,896.42
896.42,921.24,393100,0.644673892,26.91,80.55,0.17,898.72
898.72,894.27,471258,-0.704941737,12.36,80.38,0.18,881.03
881.03,898.6,467330,-3.165467466,18.79,80.7,0.18,879.56
879.56,881.9,572178,-5.174421044,17.48,80.66,0.16,882.68
882.68,881.28,434717,-6.440530872,9.41,79.91,0.15,879.13
879.13,880.03,391208,-7.642291782,10.76,80.32,0.15,901.05
901.05,879.57,449944,-6.748146719,25.73,80.06,0.13,905.84
905.84,900.77,414903,-5.588595496,9.34,80.03,0.13,932.68
932.68,910.15,523883,-2.475344875,28.11,79.4,0.14,940.74
940.74,930.17,489864,0.634983617,16.51,79.24,0.15,940.38
940.38,940.56,514138,3.035896439,7.24,79.48,0.15,951.13
951.13,942.07,485315,5.739906241,11.24,78.85,0.15,954.58
954.58,951.97,530930,8.068234077,13.31,78.83,0.14,954.07
954.07,953.4,463410,9.759793104,12.08,78.79,0.14,976.29
976.29,954.07,576165,12.74640154,26.15,79.03,0.15,979.26
979.26,972.16,445830,15.17800186,13.84,78.84,0.15,982.18
982.18,978.63,463129,17.14306762,10.2,78.63,0.16,979.62
979.62,981.48,549035,18.28306993,13,78.86,0.15,975.15
975.15,977.66,517877,18.61129887,10.97,79.52,0.17,986.75
986.75,976.01,603518,19.58171985,21.53,79.33,0.17,987.48
987.48,986.8,513907,20.1771013,10.33,78.35,0.18,1002.63
1002.63,990.22,560344,21.62217678,16.13,77.57,0.18,1005.65
1005.65,1001.41,571370,22.74886353,10.44,77.72,0.17,1002.72
1002.72,1005.41,724212,23.13861681,12.33,77.57,0.17,997.08
997.08,1004.06,675338,22.7303766,15.51,78,0.17,1010.48
1010.48,999.83,682708.96,23.22044052,20.92,78.9,0.17,1007.1
1007.1,1008.89,540608,23.0701437,9.49,79.18,0.17,994.35
994.35,1005.77,577316,21.67238814,14.7,79.17,0.16,1005.81
1005.81,994,549817,21.24448976,19.42,78.84,0.15,1012.73
1012.73,1005.86,525066,21.21916209,12.32,78.44,0.15,1004.09
1004.09,1012.23,494075,20.26827389,18.13,78.72,0.15,979.73
979.73,998.18,408857,17.34905067,25.58,79.34,0.17,989.67
989.67,980.62,419897,15.65713446,11.47,78.98,0.17,996.46
996.46,986.88,425700,14.69478262,18.99,78.48,0.17,1007.37
1007.37,996.41,489316,14.64365475,12.53,78.43,0.17,1026.13
1026.13,1009.06,588555,15.93324225,20.22,78.08,0.16,1025.57
1025.57,1026.59,630245,16.71735506,13.34,78.24,0.16,1028
1028,1026.63,576874,17.33502344,12.18,78.29,0.15,1028.12
1028.12,1027.35,508006,17.63097418,10.9,78.66,0.15,1030.98
1030.98,1027.81,578588,17.89006978,17.13,78.11,0.14,1028.93
1028.93,1031.62,578578,17.72565671,16.34,78.31,0.14,1020.62
1020.62,1025.21,500456,16.73193529,14.31,78.16,0.15,998.04
998.04,1019.52,686236,13.96144773,32.17,78.74,0.15,994.75
994.75,996.07,584273,11.36928285,8.37,78.42,0.16,1003.24
1003.24,996.12,462428,9.886084931,11.18,78.43,0.15,1016.4
1016.4,1003.84,409737,9.661173909,14.83,78.19,0.15,1025.39
1025.39,1018.67,523516,10.09201372,9.67,77.28,0.15,1033.37
1033.37,1025.36,520255,10.95113877,12.37,77.08,0.15,1044.14
