close,open,volume,MACD,ATR,USDollarIndex,TIBOR
8051.74,7988.30,1425926016.00,-182.34,253.47,85.56,0.32
7745.25,7965.41,1197915904.00,-200.87,264.18,85.58,0.32
7682.14,7714.26,1150453120.00,-208.56,254.77,84.48,0.31
8061.07,7782.90,1524925312.00,-152.17,275.62,84.52,0.32
8106.29,8052.25,1400406272.00,-100.81,274.95,84.49,0.31
8251.24,8201.16,1602929664.00,-42.34,263.25,85.38,0.31
7994.05,8142.88,1479584512.00,-33.70,273.62,85.84,0.31
7873.98,7908.51,1597237120.00,-39.18,257.01,85.95,0.31
7825.51,7862.95,1815476992.00,-43.99,266.06,84.88,0.31
8038.94,7897.24,1568322432.00,-14.60,253.12,85.70,0.31
7949.65,7985.53,1694517248.00,-3.91,248.28,86.09,0.31
8076.62,8054.27,1472737664.00,22.09,254.68,85.29,0.30
7969.03,8178.07,1404571136.00,26.35,254.27,84.88,0.30
7945.94,8066.94,1385873152.00,27.48,252.20,85.58,0.30
7705.36,7842.53,1459249152.00,-1.23,253.52,86.10,0.30
7779.40,7789.35,1496514688.00,-6.98,244.65,86.11,0.30
7750.17,7732.68,1105633408.00,-11.20,242.75,86.46,0.30
7645.51,7690.13,1208208000.00,-23.85,221.41,87.76,0.30
7534.44,7539.96,1493519232.00,-41.87,216.50,88.14,0.30
7557.65,7604.22,1382231168.00,-45.09,210.01,87.50,0.30
7416.38,7544.07,1407572224.00,-59.76,199.05,86.62,0.29
7376.16,7314.30,1642783488.00,-67.79,199.69,87.33,0.29
7268.56,7266.68,1468055168.00,-79.68,195.21,86.89,0.29
7461.22,7368.44,1653243904.00,-54.88,191.14,87.86,0.29
7457.93,7470.60,1431264896.00,-33.25,189.27,87.80,0.29
7568.42,7463.42,1406987136.00,-0.15,186.13,88.15,0.29
7280.15,7454.28,1254416256.00,-12.50,189.33,88.91,0.29
7229.72,7177.79,1466569728.00,-22.29,188.77,89.07,0.29
7290.96,7146.71,1598563456.00,-15.66,185.61,88.48,0.29
7433.49,7336.02,1853917952.00,11.31,189.86,89.10,0.28
7173.10,7328.29,1595178752.00,-1.82,201.07,88.59,0.28
7086.03,7191.13,1328214784.00,-17.28,206.66,89.17,0.28
7054.98,7059.77,1329536640.00,-26.19,200.46,88.62,0.27
7376.12,7165.39,1558188416.00,14.47,216.93,87.63,0.27
7198.25,7320.45,1531759360.00,20.36,217.11,87.36,0.27
7569.28,7301.12,2170307840.00,74.14,228.93,87.26,0.26
7704.15,7630.20,1504506496.00,124.83,226.39,87.00,0.26
7949.13,7767.34,1714338176.00,184.67,230.71,86.88,0.25
7972.17,8006.86,1767899392.00,218.38,230.16,84.10,0.25
7945.96,8017.93,1379678848.00,227.15,227.03,83.07,0.25
8215.53,7943.14,1783852928.00,257.07,225.11,83.47,0.45
8488.30,8334.68,1950085120.00,298.50,231.48,84.10,0.44
8479.99,8499.69,1620079360.00,308.41,227.51,83.77,0.43
8636.33,8430.22,1352081408.00,318.36,228.54,84.12,0.42
8626.97,8711.72,1578962944.00,305.94,224.95,85.14,0.41
8236.08,8621.85,1641982464.00,230.75,239.41,85.67,0.27
8109.53,8199.43,1787687552.00,153.38,254.83,85.60,0.25
8351.91,8173.36,1570041600.00,125.44,249.72,85.47,0.24
8719.78,8453.73,2129391232.00,145.67,264.85,84.30,0.24
8749.84,8814.10,2174586624.00,151.58,251.59,84.17,0.23
8857.93,8856.84,1735236352.00,157.83,255.64,84.73,0.23
8832.85,8838.66,1505553280.00,146.60,244.40,85.23,0.22
8595.01,8746.73,1679072256.00,97.52,252.76,85.20,0.22
8916.06,8665.16,1919986944.00,98.39,266.64,85.66,0.21
8964.11,9041.23,2286773504.00,95.46,259.89,85.52,0.21
8924.43,8930.35,1674714752.00,78.89,248.99,84.59,0.21
8842.68,8955.90,1817985792.00,49.09,252.66,84.78,0.21
8742.96,8777.68,1583507840.00,10.14,245.90,84.95,0.21
8755.26,8848.43,1729471488.00,-18.21,252.56,85.19,0.20
8907.58,8854.33,1842975872.00,-20.52,237.06,85.88,0.20
8924.75,8899.59,1678624000.00,-23.60,224.55,86.67,0.20
8711.33,8802.09,1754281728.00,-56.38,227.74,86.50,0.20
8727.30,8777.53,1949891456.00,-76.64,208.45,86.28,0.20
8847.01,8776.94,1862222336.00,-74.58,210.25,85.42,0.20
8707.99,8832.10,2121827712.00,-91.49,204.23,84.76,0.20
8726.34,8783.34,1522586368.00,-99.11,210.41,85.72,0.20
8493.77,8678.28,1695878656.00,-132.31,213.18,85.20,0.20
8828.26,8615.45,1748548992.00,-107.12,214.97,84.79,0.19
8977.37,8848.84,1547640832.00,-70.07,213.41,84.51,0.19
9385.70,9102.35,2389322752.00,5.71,232.84,83.84,0.19
9432.83,9351.40,2201174528.00,55.69,225.91,82.43,0.19
9451.98,9460.72,2307633664.00,83.17,225.88,82.80,0.19
9298.61,9358.25,1883099392.00,72.90,214.73,82.29,0.19
9340.49,9305.79,1759803136.00,64.26,207.77,82.57,0.19
9093.73,9212.30,1693301760.00,20.12,219.77,82.40,0.19
9265.02,9150.21,1719266048.00,9.34,210.22,82.94,0.19
9038.69,9167.05,1477158784.00,-30.73,220.77,82.55,0.19
9290.29,9172.56,1670453504.00,-25.99,226.15,82.10,0.19
9344.64,9372.72,1432016000.00,-18.53,222.66,81.18,0.19
9264.15,9280.35,1331765760.00,-26.92,220.00,80.49,0.19
9225.81,9156.14,1347404800.00,-39.36,207.59,80.04,0.19
9347.00,9245.95,1291517440.00,-33.24,195.16,80.01,0.19
9310.81,9364.22,1211899264.00,-35.83,192.13,80.09,0.19
9438.77,9426.62,1489261056.00,-22.69,175.84,80.76,0.19
9451.39,9353.33,1556552960.00,-15.06,177.59,80.56,0.19
9522.50,9478.21,1757872640.00,-3.79,172.94,79.23,0.19
9677.75,9517.49,1775946880.00,19.93,176.30,79.19,0.19
9704.31,9774.55,1847042816.00,33.73,177.38,78.45,0.19
9741.67,9723.82,1406033152.00,41.90,161.82,79.50,0.19
9668.96,9690.93,1758867328.00,31.96,155.44,79.44,0.19
9768.01,9752.51,1561275008.00,33.05,143.92,80.67,0.19
9865.63,9829.28,1558312448.00,40.73,133.78,80.87,0.19
9786.82,9824.17,1589664384.00,29.52,133.83,79.81,0.19
9991.49,9833.64,1928115456.00,43.19,137.40,80.32,0.19
9981.33,9992.98,2111821696.00,44.21,131.84,79.60,0.19
10135.82,10088.21,2972190464.00,58.16,132.73,80.13,0.19
10039.67,10126.55,1581731456.00,47.36,129.76,81.16,0.19
