close,open,volume,MACD,ATR,close,close
2301.85,2376.7,12701755500,-7.93,87.31,86.89,0.82
2304.25,2325.04,10787752800,-18.22,89.84,87.86,0.81
2190.19,2295.43,10220038500,-40.01,95.28,87.8,0.81
2140.49,2164.54,8707641500,-59.56,95.46,88.15,0.81
2164.67,2123.37,6274618100,-67.12,95.56,88.91,0.8
2142.15,2109.84,6616731400,-72.57,92.84,89.07,0.8
2285.15,2150.24,11075003300,-55.12,96.6,88.48,0.8
2304.92,2314.08,13198734700,-39.84,95.54,89.1,0.8
2286.58,2260.76,8596545000,-31.49,94.98,88.59,0.8
2202.53,2302.01,8655594800,-36.24,98.52,89.17,0.81
2240.78,2175.31,5666044900,-33.25,95.68,88.62,0.8
2220.38,2288.05,7083867600,-32.99,96.71,87.63,0.8
2215.7,2208.04,5570011100,-32.36,96.37,87.36,0.8
2205.42,2229.25,5408309400,-32.18,91.92,87.26,0.8
2241.61,2197.25,4877385400,-26.29,88.32,87,0.8
2322.4,2244.11,9298052800,-11.36,86.8,86.88,0.8
2332.65,2335.42,10187007100,-0.55,78.44,84.1,0.8
2382.56,2337.52,9731876600,12.2,77.14,83.07,0.81
2379.84,2389.89,10939673800,18.73,76.36,83.71,0.8
2439.4,2384.67,11631304900,28.94,76.73,83.47,0.81
2451.78,2477.57,11199352500,34.83,69.28,84.1,0.8
2401.33,2435.63,9581666000,29.6,68.66,83.77,0.8
2479.79,2407.76,11324945200,34.07,71.69,84.12,0.8
2498.93,2501,13536854600,36.73,64.63,85.14,0.8
2484.49,2501.31,9415166500,33.75,62.05,85.67,0.8
2507.79,2436.78,9546175200,32.12,62.39,85.6,0.8
2548.22,2519.89,12630762500,33.55,62.03,85.47,0.8
2576.4,2558.77,13514680600,35.18,62.16,84.3,0.8
2570.5,2597.92,12365521600,32.41,61.42,84.17,0.8
2576.95,2570.63,8608325700,28.54,58.84,85.23,0.8
2479.35,2563.72,9932809400,10.83,62.37,85.2,0.8
2517.67,2477.42,7459370300,2.7,62.75,85.66,0.8
2595.53,2540.11,10414440800,6.05,64.47,85.52,0.8
2656.52,2621.98,13901454100,14.24,64.46,84.59,0.8
2676.87,2651.2,11049130400,19.82,64.54,84.78,0.8
2686.99,2662.73,12066529200,22.12,63.89,84.95,0.8
2687.11,2690.52,12372961300,20.92,61.28,85.19,0.8
2650.69,2675.67,10152880800,12.88,63.28,85.88,0.8
2707.67,2643.73,9590369400,12.85,65.48,86.67,0.8
2675.44,2670.28,10818525200,6.45,64.68,86.5,0.82
2576.28,2687.86,12404641300,-12.18,71.19,86.28,0.83
2593.56,2555.53,8088794200,-22.61,71.85,85.42,0.81
2572.89,2605.7,7336096900,-32.14,70.62,84.76,0.81
2513.29,2566.92,7203939000,-45.5,72.31,85.72,0.81
2518.53,2490.53,5926498300,-52.19,68.6,85.2,0.81
2605.37,2518.85,8188500600,-43.8,71.56,84.66,0.81
2622.93,2616.49,8580934800,-35.16,68.53,84.79,0.81
2714.3,2635.13,10291656500,-17.3,69.92,83.71,0.81
2727.01,2733.11,10231372200,-4.6,69.39,84.16,0.81
2764.98,2721.82,10580665000,7.43,69.02,83.98,0.81
2767.08,2783.58,12210116100,13.81,69.19,83.84,0.81
2789.22,2751.5,10672498800,18.85,69.35,82.43,0.81
2725.32,2808.14,12536445200,11.76,72.7,82.8,0.81
2788.56,2702.74,8869594200,13.64,73.8,82.29,0.81
2814.01,2792.42,10711285600,16.18,66.46,82.57,0.81
2792.6,2781.05,8263932900,12.99,66.19,82.4,0.81
2796.12,2800.57,6493143100,9.53,66.38,82.94,0.81
2810.57,2782.59,7483578600,7.46,66.08,82.55,0.81
2840.08,2836.34,9770361700,8.26,65.6,82.1,0.81
2812.87,2843.55,8793921500,3.57,60.98,81.18,0.81
2750.01,2795.83,8553539400,-8.88,63.95,80.49,0.81
2740.68,2733.02,6149901200,-18.68,60.47,80.04,0.81
2752.72,2684.21,7409167100,-23.55,63.91,80.01,0.81
2719.76,2757.31,7231601200,-30.75,62.95,80.09,0.81
2759.71,2734.42,6797664500,-29.66,62.03,80.76,0.81
2858.34,2798.93,10856488300,-15.88,64.73,79.19,0.81
2865.1,2878.53,10833839700,-6.55,59.26,78.45,0.81
2939.39,2865.73,11207331000,8.13,58.26,79.5,0.81
2953.75,2924.27,13012771000,17.72,59.28,79.44,0.81
2939.31,2966.07,10847632400,19.92,57.96,80.67,0.81
2948.48,2937.64,9611636600,20.32,59.64,80.87,0.81
2960.56,2948.95,9198988600,19.91,59.31,79.81,0.81
2989.6,2972.42,10179003900,21.13,59.03,80.32,0.82
2961.63,2982.97,8711599700,15.98,59.93,79.6,0.81
2906.29,2955.57,8006706700,3.57,61.1,80.13,0.82
2966.19,2911.42,7435209000,1.98,62.92,81.16,0.82
2961.22,2936.51,7017924200,-1.04,60.37,80.75,0.82
3010.59,2957.58,7729311800,2.13,63.41,80.29,0.83
3057.43,3014.44,9628131600,8.71,63.3,80.58,0.85
3080,3061.9,10251806900,13.94,58.64,80.36,0.9
3082.56,3106.39,10395258300,15.48,59.06,80.84,0.95
